"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"(a) & (G(F(b)))","fmerg","ok",0,0.00291447,4,7,14,1,4,0,0,0,"HOA: v1 name: ""SLAA for a & GFb"" States: 4 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc deterministic univ-branch --BODY-- State: 0 ""a & GFb"" [0&1] 1 [0&!1] 1&2 State: 1 ""GFb"" [1] 1 [!1] 1&2 State: 2 ""Fb"" [1] 3 [!1] 2 {0} State: 3 ""t"" [t] 3 --END--"
"(a) & (G(F(b)))","basic","ok",0,0.00417394,4,7,14,1,4,0,0,0,"HOA: v1 name: ""SLAA for a & GFb"" States: 4 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc deterministic univ-branch --BODY-- State: 0 ""a & GFb"" [0&1] 1 [0&!1] 1&2 State: 1 ""GFb"" [1] 1 [!1] 1&2 State: 2 ""Fb"" [1] 3 [!1] 2 {0} State: 3 ""t"" [t] 3 --END--"
"(a) & (G(F(b)))","fgmerg","ok",0,0.00359954,2,4,6,2,2,0,0,0,"HOA: v1 name: ""SLAA for a & GFb"" States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Streett 1 Acceptance: 2 Fin(0) | Inf(1) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 ""a & GFb"" [0&1] 1 [0&!1] 1 State: 1 ""GFb"" [1] 1 {1} [!1] 1 {0} --END--"
"(a) & (G(F(b)))","ltl3ba","ok",0,0.013156,4,6,14,1,4,0,0,0,"HOA: v1 name: ""VWAA for (a) && ([](<>(b)))"" States: 4 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels state-acc deterministic univ-branch very-weak --BODY-- State: 0 ""((a) && GF(b))"" [0] 1 State: 1 ""GF(b)"" [1] 1 [!1] 1&2 State: 2 ""F(b)"" {0} [1] 3 [!1] 2 State: 3 ""t"" [t] 3 --END--"
"((G(!(a))) & (F(G((b) | (c))))) | ((F(a)) & (G(F((!(b)) & (!(c))))))","fmerg","ok",0,0.00394709,7,16,56,1,7,1,1,0,"HOA: v1 name: ""SLAA for (G!a & FG(b | c)) | (GF(!b & !c) & Fa)"" States: 7 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc univ-branch --BODY-- State: 0 ""(G!a & FG(b | c)) | (GF(!b & !c) & Fa)"" [!0&1 | !0&2] 1&2 [!0&!1&!2] 1&2 [0&!1&!2] 3 [0&1 | 0&2] 3&4 [!0&!1&!2] 3&5 [!0&1 | !0&2] 3&4&5 State: 1 ""G!a"" [!0] 1 State: 2 ""FG(b | c)"" [1 | 2] 2 [!1&!2] 2 {0} State: 3 ""GF(!b & !c)"" [!1&!2] 3 [1 | 2] 3&4 State: 4 ""F(!b & !c)"" [!1&!2] 6 [1 | 2] 4 {0} State: 5 ""Fa"" [0] 6 [!0] 5 {0} State: 6 ""t"" [t] 6 --END--"
"((G(!(a))) & (F(G((b) | (c))))) | ((F(a)) & (G(F((!(b)) & (!(c))))))","basic","ok",0,0.0034009,8,17,71,1,8,2,1,0,"HOA: v1 name: ""SLAA for (G!a & FG(b | c)) | (GF(!b & !c) & Fa)"" States: 8 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc univ-branch --BODY-- State: 0 ""(G!a & FG(b | c)) | (GF(!b & !c) & Fa)"" [!0&1 | !0&2] 1&2 [!0] 1&3 [0&!1&!2] 4 [0&1 | 0&2] 4&5 [!0&!1&!2] 4&6 [!0&1 | !0&2] 4&5&6 State: 1 ""G!a"" [!0] 1 State: 2 ""G(b | c)"" [1 | 2] 2 State: 3 ""FG(b | c)"" [1 | 2] 2 [t] 3 {0} State: 4 ""GF(!b & !c)"" [!1&!2] 4 [1 | 2] 4&5 State: 5 ""F(!b & !c)"" [!1&!2] 7 [1 | 2] 5 {0} State: 6 ""Fa"" [0] 7 [!0] 6 {0} State: 7 ""t"" [t] 7 --END--"
"((G(!(a))) & (F(G((b) | (c))))) | ((F(a)) & (G(F((!(b)) & (!(c))))))","fgmerg","ok",0,0.00371416,6,14,48,4,6,1,1,0,"HOA: v1 name: ""SLAA for (G!a & FG(b | c)) | (GF(!b & !c) & Fa)"" States: 6 Start: 0 AP: 3 ""a"" ""b"" ""c"" Acceptance: 4 (Inf(3) | Fin(2)) & Fin(1) & Fin(0) properties: trans-labels explicit-labels trans-acc univ-branch --BODY-- State: 0 ""(G!a & FG(b | c)) | (GF(!b & !c) & Fa)"" [!0&1 | !0&2] 1&2 [!0&!1&!2] 1&2 [0&!1&!2] 3 [0&1 | 0&2] 3 [!0&!1&!2] 3&4 [!0&1 | !0&2] 3&4 State: 1 ""G!a"" [!0] 1 State: 2 ""FG(b | c)"" [1 | 2] 2 [!1&!2] 2 {0} State: 3 ""GF(!b & !c)"" [!1&!2] 3 {3} [1 | 2] 3 {2} State: 4 ""Fa"" [0] 5 [!0] 4 {1} State: 5 ""t"" [t] 5 --END--"
"((G(!(a))) & (F(G((b) | (c))))) | ((F(a)) & (G(F((!(b)) & (!(c))))))","ltl3ba","ok",0,0.0135657,8,14,68,1,8,2,1,0,"HOA: v1 name: ""VWAA for (([](!(a))) && (<>([]((b) || (c))))) || ((<>(a)) && ([](<>((!(b)) && (!(c))))))"" States: 8 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels state-acc univ-branch very-weak --BODY-- State: 0 ""((G!((a)) && FG((b) || (c))) || (F(a) && GF(!((b)) && !((c)))))"" [!0] 4&6 [0] 1 [!0] 1&3 State: 1 ""GF(!((b)) && !((c)))"" [!1&!2] 1 [1 | 2] 1&2 State: 2 ""F(!((b)) && !((c)))"" {0} [!1&!2] 7 [1 | 2] 2 State: 3 ""F(a)"" {0} [0] 7 [!0] 3 State: 4 ""FG((b) || (c))"" {0} [1 | 2] 5 [t] 4 State: 5 ""G((b) || (c))"" [1 | 2] 5 State: 6 ""G!((a))"" [!0] 6 State: 7 ""t"" [t] 7 --END--"
"(F(G(a))) U ((b) | (G(c)))","fmerg","ok",0,0.00287992,4,7,30,1,4,1,1,0,"HOA: v1 name: ""SLAA for FGa U (b | Gc)"" States: 4 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc univ-branch --BODY-- State: 0 ""FGa U (b | Gc)"" [1] 3 [!1&2] 1 [!1] 0&2 {0} State: 1 ""Gc"" [2] 1 State: 2 ""FGa"" [0] 2 [!0] 2 {0} State: 3 ""t"" [t] 3 --END--"
"(F(G(a))) U ((b) | (G(c)))","basic","ok",0,0.00422358,5,9,40,1,5,2,1,0,"HOA: v1 name: ""SLAA for FGa U (b | Gc)"" States: 5 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc univ-branch --BODY-- State: 0 ""FGa U (b | Gc)"" [1] 4 [!1&2] 1 [0&!1] 0&2 {0} [!1] 0&3 {0} State: 1 ""Gc"" [2] 1 State: 2 ""Ga"" [0] 2 State: 3 ""FGa"" [0] 2 [t] 3 {0} State: 4 ""t"" [t] 4 --END--"
