"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"F((G(a)) | (G(b)))","ltl3ba","ok",0,0.00719854,3,5,12,1,3,1,1,0,"HOA: v1 name: ""VWAA for <>(([](a)) || ([](b)))"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels state-acc very-weak --BODY-- State: 0 ""F(G(a) || G(b))"" {0} [0] 2 [1] 1 [t] 0 State: 1 ""G(b)"" [1] 1 State: 2 ""G(a)"" [0] 2 --END--"
"F((G(a)) | (G(b)))","basic","ok",0,0.00168058,3,5,12,1,3,1,1,0,"HOA: v1 name: ""SLAA for F(Ga | Gb)"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""F(Ga | Gb)"" [0] 1 [1] 2 [t] 0 {0} State: 1 ""Ga"" [0] 1 State: 2 ""Gb"" [1] 2 --END--"
"F((G(a)) | (G(b)))","fmerg","ok",0,0.00158673,1,3,8,3,1,1,1,1,"HOA: v1 name: ""SLAA for F(Ga | Gb)"" States: 1 Start: 0 AP: 2 ""a"" ""b"" Acceptance: 3 (Fin(1)|Fin(2)) & Fin(0) properties: trans-labels explicit-labels trans-acc colored complete --BODY-- State: 0 ""F(Ga | Gb)"" [t] 0 {0} [0] 0 {2} [1] 0 {1} --END--"
"F((G(a)) | (G(b)))","fgmerg","ok",0,0.00155819,1,3,8,3,1,1,1,1,"HOA: v1 name: ""SLAA for F(Ga | Gb)"" States: 1 Start: 0 AP: 2 ""a"" ""b"" Acceptance: 3 (Fin(1)|Fin(2)) & Fin(0) properties: trans-labels explicit-labels trans-acc colored complete --BODY-- State: 0 ""F(Ga | Gb)"" [t] 0 {0} [0] 0 {2} [1] 0 {1} --END--"
"F((G(a)) | (G(b)))","fgmerg_opt","ok",0,0.00162519,1,3,5,3,1,1,1,1,"HOA: v1 name: ""SLAA for F(Ga | Gb)"" States: 1 Start: 0 AP: 2 ""a"" ""b"" Acceptance: 3 (Fin(1)|Fin(2)) & Fin(0) properties: trans-labels explicit-labels trans-acc colored complete --BODY-- State: 0 ""F(Ga | Gb)"" [!0&!1] 0 {0} [0] 0 {2} [1] 0 {1} --END--"
"(X(F(a))) & (((F(b)) & (F(G(c)))) | (G((!(b)) & (F(!(c))))))","ltl3ba","ok",0,0.00716808,8,16,64,1,8,2,1,0,"HOA: v1 name: ""VWAA for (X(<>(a))) && (((<>(b)) && (<>([](c)))) || ([]((!(b)) && (<>(!(c))))))"" States: 8 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels state-acc univ-branch very-weak --BODY-- State: 0 ""(X (F(a)) && ((F(b) && FG(c)) || G(!((b)) && F!((c)))))"" [1] 3&6 [!1] 3&5&6 [!1&!2] 1&6 [!1&2] 1&2&6 State: 1 ""G(!((b)) && F!((c)))"" [!1&!2] 1 [!1&2] 1&2 State: 2 ""F!((c))"" {0} [!2] 7 [2] 2 State: 3 ""FG(c)"" {0} [2] 4 [t] 3 State: 4 ""G(c)"" [2] 4 State: 5 ""F(b)"" {0} [1] 7 [!1] 5 State: 6 ""F(a)"" {0} [0] 7 [!0] 6 State: 7 ""t"" [t] 7 --END--"
"(X(F(a))) & (((F(b)) & (F(G(c)))) | (G((!(b)) & (F(!(c))))))","basic","ok",0,0.00222958,8,18,68,1,8,2,1,0,"HOA: v1 name: ""SLAA for XFa & ((Fb & FGc) | G(!b & F!c))"" States: 8 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc univ-branch --BODY-- State: 0 ""XFa & ((Fb & FGc) | G(!b & F!c))"" [1&2] 1&2 [1] 1&3 [!1&2] 1&2&4 [!1] 1&3&4 [!1&!2] 1&5 [!1&2] 1&5&6 State: 1 ""Fa"" [0] 7 [!0] 1 {0} State: 2 ""Gc"" [2] 2 State: 3 ""FGc"" [2] 2 [t] 3 {0} State: 4 ""Fb"" [1] 7 [!1] 4 {0} State: 5 ""G(!b & F!c)"" [!1&!2] 5 [!1&2] 5&6 State: 6 ""F!c"" [!2] 7 [2] 6 {0} State: 7 ""t"" [t] 7 --END--"
"(X(F(a))) & (((F(b)) & (F(G(c)))) | (G((!(b)) & (F(!(c))))))","fmerg","ok",0,0.00202398,7,16,56,1,7,1,1,0,"HOA: v1 name: ""SLAA for XFa & ((Fb & FGc) | G(!b & F!c))"" States: 7 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc univ-branch --BODY-- State: 0 ""XFa & ((Fb & FGc) | G(!b & F!c))"" [1&2] 1&2 [1&!2] 1&2 [!1] 1&2&3 [!1&!2] 1&4 [!1&2] 1&4&5 State: 1 ""Fa"" [0] 6 [!0] 1 {0} State: 2 ""FGc"" [2] 2 [!2] 2 {0} State: 3 ""Fb"" [1] 6 [!1] 3 {0} State: 4 ""G(!b & F!c)"" [!1&!2] 4 [!1&2] 4&5 State: 5 ""F!c"" [!2] 6 [2] 5 {0} State: 6 ""t"" [t] 6 --END--"
"(X(F(a))) & (((F(b)) & (F(G(c)))) | (G((!(b)) & (F(!(c))))))","fgmerg","ok",0,0.00209969,6,15,48,5,6,1,1,0,"HOA: v1 name: ""SLAA for XFa & ((Fb & FGc) | G(!b & F!c))"" States: 6 Start: 0 AP: 3 ""a"" ""b"" ""c"" Acceptance: 5 (Inf(4) | Fin(3)) & Fin(2) & Fin(1) & Fin(0) properties: trans-labels explicit-labels trans-acc univ-branch --BODY-- State: 0 ""XFa & ((Fb & FGc) | G(!b & F!c))"" [1&2] 1&2 [1&!2] 1&2 [!1&2] 1&2&3 [!1&!2] 1&2&3 [!1&!2] 1&4 [!1&2] 1&4 State: 1 ""Fa"" [0] 5 [!0] 1 {0} State: 2 ""FGc"" [2] 2 [!2] 2 {2} State: 3 ""Fb"" [1] 5 [!1] 3 {1} State: 4 ""G(!b & F!c)"" [!1&!2] 4 {4} [!1&2] 4 {3} State: 5 ""t"" [t] 5 --END--"
"(X(F(a))) & (((F(b)) & (F(G(c)))) | (G((!(b)) & (F(!(c))))))","fgmerg_opt","ok",0,0.00234217,6,15,48,5,6,1,1,0,"HOA: v1 name: ""SLAA for XFa & ((Fb & FGc) | G(!b & F!c))"" States: 6 Start: 0 AP: 3 ""a"" ""b"" ""c"" Acceptance: 5 (Inf(4) | Fin(3)) & Fin(2) & Fin(1) & Fin(0) properties: trans-labels explicit-labels trans-acc univ-branch --BODY-- State: 0 ""XFa & ((Fb & FGc) | G(!b & F!c))"" [1&2] 1&2 [1&!2] 1&2 [!1&2] 1&2&3 [!1&!2] 1&2&3 [!1&!2] 1&4 [!1&2] 1&4 State: 1 ""Fa"" [0] 5 [!0] 1 {0} State: 2 ""FGc"" [2] 2 [!2] 2 {2} State: 3 ""Fb"" [1] 5 [!1] 3 {1} State: 4 ""G(!b & F!c)"" [!1&!2] 4 {4} [!1&2] 4 {3} State: 5 ""t"" [t] 5 --END--"
